60, 600, 0
60, 60, 0
300, 60, 0
300, 600, 0
60, 600, 1
299, 553, 0
109, 506, 1
60, 452, 0
140, 472, 0
140, 446, 0
257, 422, 1
171, 477, 0
223, 491, 1
298, 493, 0
290, 484, 0
277, 487, 0
271, 495, 0
270, 498, 0
251, 497, 1
299, 372, 0
208, 390, 0
208, 365, 0
103, 335, 1
60, 407, 0
67, 397, 0
77, 395, 0
88, 399, 0
93, 411, 0
118, 406, 1
175, 396, 0
145, 401, 1
60, 289, 0
143, 311, 0
143, 287, 0
252, 263, 1
172, 318, 0
184, 320, 0
189, 313, 0
197, 308, 0
207, 308, 0
212, 311, 0
216, 317, 0
216, 325, 0
229, 327, 1
299, 329, 0
292, 318, 0
286, 316, 0
277, 317, 0
268, 324, 0
268, 329, 0
255, 328, 1
300, 212, 0
240, 224, 1
203, 233, 0
199, 224, 0
192, 220, 0
181, 220, 0
176, 226, 0
173, 230, 0
173, 237, 0
158, 240, 0
159, 216, 0
100, 194, 1
126, 247, 0
94, 255, 0
90, 242, 0
83, 239, 0
76, 238, 0
71, 238, 0
65, 244, 0
62, 248, 1
233, 182, 0
227, 166, 0
220, 163, 0
210, 166, 0
202, 171, 0
200, 176, 0
180, 168, 1
299, 90, 0
262, 98, 0
265, 62, 1
231, 61, 0
230, 101, 0
200, 105, 0
201, 61, 1
167, 60, 0
166, 105, 0
116, 94, 0
106, 95, 0
103, 99, 0
99, 107, 0
99, 117, 0
106, 127, 0
111, 150, 0
60, 132, 1
132, 155, 0
151, 161, 1
